elo1, elo2, res
1827,1646,1-0
1792,1542,1-0
1759,1451,1-0
1750,1449,1-0
1733,1370,1-0
1731,1251,1-0
1393,1840,0-1
1575,1811,1-0
1197,1331,0-1
2688,2722,1/2-1/2
2715,2684,1/2-1/2
2709,2678,0-1
2643,2644,1/2-1/2
2563,2709,1/2-1/2
2556,2675,1/2-1/2
2496,2637,0-1
2509,2609,1/2-1/2
2603,2530,1/2-1/2
2566,2507,1/2-1/2
2136,2416,0-1
2566,2271,1-0
2432,2602,1/2-1/2
2631,2411,1-0
2710,2462,1-0
2644,2460,1-0
2411,2622,0-1
2622,2407,1-0
2569,2386,1-0
2431,2533,0-1
2531,2362,1-0
2501,2313,1-0
2405,2498,0-1
2375,2486,1-0
2485,2375,0-1
2307,2478,0-1
2359,2468,1/2-1/2
2280,2466,0-1
2274,2568,0-1
2565,2302,1-0
2473,2297,1/2-1/2
2284,2472,0-1
2223,2439,0-1
2435,2263,1-0
2212,2430,1/2-1/2
2421,2236,1/2-1/2
2169,2419,0-1
2125,2414,0-1
2135,2407,0-1
2369,2197,1/2-1/2
2071,2369,1/2-1/2
2364,2133,1/2-1/2
1960,2350,0-1
2335,2131,0-1
1910,2329,0-1
2314,1990,1-0
2312,1871,1-0
1853,2279,0-1
2441,2090,1-0
2075,2281,0-1
2050,2269,1-0
2046,2260,1/2-1/2
2257,1985,1/2-1/2
2235,1953,1-0
1990,2235,0-1
2226,1909,1-0
2000,2222,0-1
2204,1903,0-1
1969,2180,0-1
1894,2148,1/2-1/2
1873,2125,0-1
1479,2125,0-1
2124,1903,1-0
2260,1909,1-0
2211,1896,1-0
1903,2078,0-1
1878,2075,0-1
2072,1870,0-1
2071,1856,1-0
2069,1827,1-0
1823,2053,0-1
1766,2028,1-0
1734,2017,1-0
2008,1792,0-1
1759,1997,0-1
1747,1992,1/2-1/2
1991,1750,1-0
1731,1988,0-1
1985,1733,1-0
1980,1714,1-0
1623,1961,0-1
1610,1953,1/2-1/2
1809,1978,1-0
1936,1783,1-0
1935,1695,1-0
1915,1693,1-0
1888,1671,1-0
1872,1652,1-0
