elo1, elo2, res, round
2198,2494,1/2-1/2,9
1940,2368,1/2-1/2,9
2288,2171,1/2-1/2,9
2130,2248,1/2-1/2,9
2225,2161,1/2-1/2,9
2252,2132,1-0,9
2173,2257,0-1,9
2251,2012,1/2-1/2,9
2151,2249,0-1,9
2092,2219,1-0,9
2211,1959,0-1,9
2094,2199,1-0,9
2079,2182,0-1,9
2130,1986,1-0,9
2122,2009,1-0,9
2065,1660,0-1,9
1902,2052,1-0,9
1720,1953,1/2-1/2,9
1951,1787,0-1,9
1646,1949,0-1,9
1724,1949,0-1,9
1913,1775,1-0,9
1904,1564,1-0,9
1951,1646,1-0,9
2654,2248,1-0,1
2217,2650,0-1,1
2649,2198,1-0,1
2197,2634,0-1,1
2624,2189,1-0,1
2176,2600,0-1,1
2581,2164,1-0,1
2162,2577,0-1,1
2574,2162,1-0,1
2158,2560,0-1,1
2554,2156,1/2-1/2,1
2155,2536,0-1,1
2534,2140,1-0,1
2135,2533,1/2-1/2,1
2524,2132,1-0,1
2131,2515,1/2-1/2,1
2512,2124,1-0,1
2123,2495,0-1,1
2495,2119,1-0,1
2079,2487,1-0,1
2483,2069,1-0,1
2061,2471,0-1,1
2465,2040,1-0,1
2032,2455,0-1,1
2454,2016,1-0,1
2008,2448,0-1,1
2434,2004,1-0,1
1974,2429,0-1,1
2426,1964,1-0,1
1958,2412,0-1,1
2405,1946,1-0,1
1944,2398,0-1,1
2398,1930,1-0,1
1888,2391,0-1,1
2383,1872,1-0,1
1821,2383,0-1,1
2382,1809,1-0,1
2364,1784,1/2-1/2,1
1769,2360,0-1,1
2358,1750,1-0,1
1725,2355,1/2-1/2,1
2347,1716,0-1,1
1714,2333,0-1,1
2330,1710,1-0,1
1705,2317,0-1,1
2317,1653,1-0,1
1609,2315,0-1,1
2278,1587,1-0,1
1534,2266,0-1,1
2260,1485,1-0,1
2032,1446,1-0,1
2429,2654,0-1,2
2650,2426,1-0,2
2412,2649,0-1,2
2634,2405,1-0,2
2398,2624,0-1,2
2600,2383,1-0,2
2398,2581,1/2-1/2,2
2577,2382,1-0,2
2391,2574,0-1,2
2560,2358,1-0,2
2536,2330,1/2-1/2,2
2383,2534,0-1,2
2381,2524,0-1,2
2360,2512,0-1,2
2495,2317,1/2-1/2,2
2333,2495,1/2-1/2,2
2317,2483,0-1,2
2471,2278,1-0,2
2315,2465,1/2-1/2,2
2455,2260,1/2-1/2,2
2266,2454,1/2-1/2,2
2448,2079,1-0,2
1716,2434,0-1,2
2533,2032,1-0,2
1784,2554,0-1,2
2515,2135,1-0,2
2156,2364,1-0,2
2355,2131,0-1,2
2487,1725,1-0,2
2004,2347,0-1,2
2248,1974,1-0,2
1964,2217,1/2-1/2,2
2198,1958,1/2-1/2,2
1946,2197,0-1,2
2189,1944,1-0,2
1930,2176,1/2-1/2,2
2164,1888,1-0,2
1872,2162,0-1,2
2162,1821,1-0,2
1809,2158,0-1,2
1750,2155,0-1,2
2132,1769,1/2-1/2,2
2124,1714,1-0,2
1710,2123,0-1,2
2119,1705,1-0,2
2069,1653,1-0,2
1587,2061,1/2-1/2,2
2040,1609,1-0,2
1485,2032,0-1,2
2016,1534,1-0,2
1446,2008,0-1,2
2654,2560,1-0,3
2534,2650,1/2-1/2,3
2649,2524,1-0,3
2512,2634,1/2-1/2,3
2624,2471,0-1,3
2483,2600,1/2-1/2,3
2434,2577,1-0,3
2574,2448,1/2-1/2,3
2581,2333,1-0,3
2554,2398,1/2-1/2,3
2454,2536,1-0,3
2330,2533,1/2-1/2,3
2317,2515,1/2-1/2,3
2260,2495,0-1,3
2495,2315,1-0,3
2465,2266,1-0,3
2131,2455,1/2-1/2,3
2429,2156,1-0,3
2189,2487,1/2-1/2,3
2426,2164,1-0,3
2162,2412,0-1,3
2405,2162,1-0,3
2158,2398,0-1,3
2155,2391,1-0,3
2123,2383,0-1,3
2383,2140,1-0,3
2382,2124,1-0,3
2079,2381,1-0,3
2032,2360,0-1,3
2358,2119,1-0,3
2347,2069,1/2-1/2,3
2032,2317,1/2-1/2,3
2278,2040,1-0,3
2008,2248,1/2-1/2,3
2197,2016,1-0,3
2364,1716,1-0,3
1958,2355,0-1,3
2217,1930,1-0,3
1769,2198,1/2-1/2,3
2176,1964,1/2-1/2,3
2135,1587,1-0,3
1725,2132,0-1,3
2061,1784,1-0,3
1714,2004,0-1,3
1974,1750,1/2-1/2,3
1705,1946,0-1,3
1944,1710,0-1,3
1653,1888,1/2-1/2,3
1609,1872,0-1,3
1821,1485,1/2-1/2,3
1534,1809,0-1,3
2471,2654,1/2-1/2,4
2434,2649,1-0,4
2650,2512,1/2-1/2,4
2634,2495,1/2-1/2,4
2600,2465,1/2-1/2,4
2495,2581,1-0,4
2483,2574,0-1,4
2448,2534,0-1,4
2624,2454,1/2-1/2,4
2577,2383,1-0,4
2560,2382,0-1,4
2383,2554,1/2-1/2,4
2533,2358,1-0,4
2524,2330,1-0,4
2515,2278,1-0,4
2455,2317,1-0,4
2398,2429,1/2-1/2,4
2360,2426,1/2-1/2,4
2412,2197,1-0,4
2155,2405,0-1,4
2398,2131,1-0,4
2536,2079,1-0,4
2487,2217,1-0,4
2248,2364,0-1,4
2355,2189,1/2-1/2,4
2156,2347,1/2-1/2,4
2333,2135,1-0,4
2317,2061,1-0,4
2315,2032,1/2-1/2,4
2266,2008,1-0,4
2132,2260,1-0,4
2069,2391,0-1,4
2381,2040,1-0,4
2198,2032,1-0,4
2016,2176,0-1,4
2164,2004,1-0,4
1964,2162,0-1,4
2162,1946,1-0,4
1872,2158,0-1,4
2140,1809,0-1,4
2124,1769,1-0,4
1716,2123,0-1,4
2119,1710,1/2-1/2,4
1446,1974,0-1,4
1750,1958,1/2-1/2,4
1930,1725,1-0,4
1888,1587,1-0,4
1653,1821,1-0,4
1784,1485,1/2-1/2,4
1705,1944,1-0,4
1534,1714,0-1,4
2654,2434,1-0,5
2574,2495,1/2-1/2,5
2534,2471,1/2-1/2,5
2495,2650,1/2-1/2,5
2649,2455,1-0,5
2465,2634,0-1,5
2512,2600,1/2-1/2,5
2454,2577,1/2-1/2,5
2412,2533,0-1,5
2405,2524,1-0,5
2382,2515,1/2-1/2,5
2581,2398,0-1,5
2398,2624,1/2-1/2,5
2554,2364,1-0,5
2383,2536,0-1,5
2360,2487,0-1,5
2333,2483,0-1,5
2317,2448,0-1,5
2429,2266,1-0,5
2426,2132,1-0,5
2189,2560,0-1,5
2391,2176,1-0,5
2383,2164,1-0,5
2162,2381,0-1,5
2358,2162,1-0,5
2158,2355,1/2-1/2,5
2347,2155,1-0,5
2330,2156,1/2-1/2,5
2317,2131,1-0,5
2123,2315,0-1,5
2278,2124,1-0,5
2079,2198,1/2-1/2,5
2197,2032,0-1,5
1809,2260,1-0,5
2248,1930,0-1,5
2217,2008,0-1,5
2135,1888,1/2-1/2,5
1974,2119,0-1,5
1710,2069,1/2-1/2,5
2061,1653,1-0,5
1769,2140,0-1,5
2040,1784,1-0,5
2032,1750,1-0,5
2004,1716,1-0,5
1714,1964,0-1,5
1958,1705,1-0,5
1946,1446,1-0,5
1485,1872,1/2-1/2,5
1821,1725,1-0,5
1587,1609,1/2-1/2,5
1944,1534,1-0,5
2649,2654,1-0,6
2634,2434,1-0,6
2471,2574,1/2-1/2,6
2495,2534,1/2-1/2,6
2533,2398,1-0,6
2650,2405,1/2-1/2,6
2600,2454,0-1,6
2577,2483,1-0,6
2487,2554,1/2-1/2,6
2536,2429,1/2-1/2,6
2515,2426,1-0,6
2448,2512,1/2-1/2,6
2382,2495,0-1,6
2381,2624,0-1,6
2560,2383,1-0,6
2524,2358,0-1,6
2032,2465,0-1,6
2455,2347,1-0,6
2315,2412,0-1,6
1809,2398,0-1,6
2391,2317,1-0,6
2278,2383,1-0,6
2198,2581,0-1,6
2364,2158,1-0,6
2156,2360,1/2-1/2,6
2355,2079,1-0,6
2132,2333,0-1,6
2119,2330,1/2-1/2,6
2008,2317,0-1,6
2266,2061,1-0,6
2164,1930,1/2-1/2,6
2069,2197,0-1,6
2040,2189,1-0,6
2176,2123,1-0,6
2004,2162,1-0,6
2162,2032,0-1,6
1964,2155,1/2-1/2,6
2140,1958,1-0,6
1946,2135,0-1,6
2131,1888,1-0,6
2248,1710,0-1,6
2260,1821,1-0,6
1872,2217,0-1,6
1653,1974,0-1,6
2016,1485,1-0,6
1587,1944,0-1,6
1784,1714,0-1,6
1446,1769,0-1,6
1750,1705,0-1,6
